장소 이름,위도,경도
굿플러스협동조합마트,126.38534085594756,34.78950661727897
삼학마트,126.389283180926,34.7871143235245
준할인마트,126.400324212632,34.7887160173395
부두마트,126.385463179135,34.7842106268441
동산마트,126.39453242047,34.7883988980189
황제마트,126.404066928456,34.7903136475972
청룡마트,126.391473535959,34.7887892725177
코사마트 만흥점,126.387691419057,34.7866520226551
나들가게 화니마트,126.40029187409,34.7894099340344
원광공구마트,126.43759509391718,34.768633142248824
대불코퍼레이션,126.42350873946,34.7724802423212
롯데마트 맥스 목포점,126.429394588792,34.797227955998
맘마트 제일점,126.439139151195,34.8003461183542
로또마트,126.432125835338,34.8011347686699
시너바슈즈마트,126.429940350898,34.798902606396
신원산업공구마트,126.4366487786742,34.80194631512399
한우리마트 우미평화점,126.434076286562,34.8003578354349
아델리움마트,126.446816325891,34.8064882271539
마트클로버,126.430392997553,34.803949846514
양지마트,126.428592255016,34.7994848970665
타이타이 목포마트,126.434876241274,34.798428955654
우미5차마트,126.427363816719,34.7957184919835
부영나이스마트,126.430668915233,34.8032372312197
제일하이빌마트,126.43153504381294,34.806169918624455
굿모닝 할인마트,126.433342617492,34.8053697959854
평화마트,126.436274958413,34.7997118219572
다이소 롯데마트목포점,126.429472889834,34.7972824069495
CU 목포시네마점,126.433099246047,34.7994158345939
CU 하당부영점,126.430134676449,34.803375348676
오토오아시스 롯데마트목포점,126.429376807664,34.7972711397302
나들가게 개미마트,126.432057960236,34.8013120272298
던킨 목포롯데마트맥스점,126.429468767455,34.7972463317099
쏘카존 롯데마트 목포점 옆,126.43027065934582,34.798064951811014
나들가게 양지마트,126.428537681286,34.7994756268503
아가방갤러리 롯데마트맥스 목포점,126.429460025941,34.7972462907314
나들가게 제일하이빌마트,126.431711101048,34.8063131615916
나들가게 신안마트,126.42739581162,34.7986770299978
롯데ATM 롯데마트 목포1층 2,126.429403081896,34.7972640517315
롯데ATM 롯데마트맥스 목포1층2,126.429468767455,34.7972463317099
롯데ATM 롯데마트맥스 목포1층3,126.429468767455,34.7972463317099
씨채널안경 롯데마트목포점,126.429467674766,34.7972463265876
트래커 롯데마트맥스 목포점,126.429467674766,34.7972463265876
롯데ATM 롯데마트 목포1층 3,126.429403081896,34.7972640517315
민팃ATM 롯데마트목포점,126.429468767455,34.7972463317099
롯데마트 남악점,126.465642224698,34.802686418948035
ABC마트 ST남악롯데아울렛점,126.46425316030884,34.80321123582573
다이소 롯데마트남악점,126.465720514294,34.8027471564126
토이저러스 롯데마트남악점,126.465659854401,34.8026639613805
던킨 무안남악롯데마트점,126.46535031604246,34.80270677045246
네이처리퍼블릭 롯데마트남악,126.46571163837184,34.80276784962234
미샤 롯데마트남악점,126.464710365746,34.8034854701669
못된고양이 목포남악롯데마트점,126.465744758757,34.8027157138828
홀리카홀리카 롯데마트남악점,126.46576076644271,34.802775276489626
더샘 롯데마트남악점,126.46487076528196,34.803523132936576
토니모리 롯데마트남악점,126.46572031654468,34.802777803110494
이디야커피 무안남악롯데마트점,126.464710365746,34.8034854701669
롯데ATM 롯데마트 남악1층 1,126.46564550799803,34.80285499497654
오가다 롯데마트무안남악점,126.465729694905,34.802848604103936
민팃ATM 롯데마트남악점,126.464710365746,34.8034854701669
콜리올리 롯데마트남악점,126.464709278796,34.8034845639871
빠뮤 롯데마트 남악점,126.464710365746,34.8034854701669
엔프라니 롯데마트남악점,126.464714433842,34.8035323608001
디어베이비 롯데마트남악점,126.46564922758,34.8029559679938
하나로마트 남악점,126.46060788308398,34.81372886954624
텃밭 남악점,126.458648637655,34.8140014046365
지엠마트,126.466390010317,34.8094204430272
모아할인마트,126.459208345795,34.8079609249324
알이써밋,126.45865111236856,34.813957247194146
세종 철물안전공구할인마트,126.4598938275464,34.807419524908056
옥암주공2차마트,126.45063173132,34.8118814445299
한빛철물마트 남악점,126.46507545098588,34.81412717837063
와이마트 목포점,126.445572961027,34.8100340734779
맘마트 남악점,126.472563556364,34.8118495840007
SM마트 남악점,126.459843715627,34.8084000234414
근화플러스마트,126.471867799392,34.8073278565423
현대아이파크마트,126.456393597731,34.8118820821625
남악부영마트,126.472641551327,34.8121302568193
한우리마트고 남악점,126.475179262321,34.8098985494958
골드클래스마트,126.448355656451,34.8070540812872
옥암축산마트,126.45016785583,34.8112952441969
남악리젠시빌마트,126.466939934425,34.8102377170507
아이지에이마트 유탑점,126.467776836232,34.8140173353809
하나로마트 남악점 주차장,126.460652687028,34.8138976294062
소보루치킨마트 남악점,126.459776984922,34.8125966342319
복권판매점 주공마트점,126.45060108264,34.811888517331
나들가게 주공2차마트,126.4506109246,34.8118876603699
삼미유통 진로마트,126.44789058774089,34.80796418631441
이마트에브리데이 무안오룡점,126.48399197652,34.8050515559448
롯데슈퍼프레시 오룡점,126.484538160704,34.8080726572045
풍경마트,126.480079483567,34.8104712407613
롯데슈퍼 목포용해점,126.391425990968,34.8196419722467
늘푸른마트,126.394954735574,34.820622258402
G마트 주차장,126.391477514081,34.8194727681651
주공정마트,126.3945638884518,34.82041028969872
오토마트자동차매매상사,126.404193991652,34.8315692905559
대양마트,126.402708867608,34.8283206038589
하나로마트 목포점,126.429449524511,34.8190672425009
119식자재마트 석현점,126.419954798233,34.8282273792085
목포마트,126.421320120617,34.8199446667113
정마트,126.426481857576,34.8473065346471
블루빌할인마트,126.420619250908,34.8226328933345
사랑마트,126.421879161827,34.8194028822115
목포농협 하나로마트 주차장,126.422312394348,34.8240426114751
농협하나로마트 목포점 주차장,126.428797869447,34.8184656589264
오성마트,126.422431278942,34.826115479329
목포농협 하나로마트 전기차충전소,126.42211165583323,34.823361106007404
아이엠할인마트,126.417484290272,34.833198471763
영신마트,126.417250298004,34.8322743256859
남도마트,126.426472910657,34.8473353369504
석현마트,126.42275178846,34.825925905102
농협하나로마트 목포점 후문,126.427721706474,34.8193493771382
다이소 하나로마트목포점,126.429409854139,34.8191139289934
벌크커피 목포하나로마트점,126.429459653394,34.8190249244475
금호타이어 공단타이어마트,126.423844753687,34.8245330247375
롯데슈퍼프레시 목포옥암점,126.43807645078768,34.807670478175325
장난감할인마트,126.429422573895,34.8077564053829
형제낚시할인마트,126.430201688632,34.808246810003
행복한마트,126.440570389219,34.8096073523336
영암마트예향,126.439276376552,34.8089668132926
간판광고마트,126.428883747896,34.8136237676675
효성축산마트 옥암점,126.43776662034858,34.80791242422389
일로농협하나로마트 본점,126.49407402139236,34.84891169035287
일로마트,126.49502070605917,34.84840904129018
"영화떡방아간,영화마트",126.495471583286,34.8478069785742
사료할인마트,126.495704663355,34.8477763964072
